Suffix	Standard abbreviation	Other common abbreviations
Alley	Aly	Allee, Ally
Avenue	Ave	Av, Aven, Avenu, Avn, Avnue
Beach	Bch	
Bluff	Blf	Bluf
Boulevard	Blvd	Boul, Boulv
Circle	Cir	Circ, Circl, Crcl, Crcle
Crest	Crst	
Court	Ct	
Cove	Cv	
Drive	Dr	Driv, Drv
Hill	Hl	
Highway	Hwy	Highwy, Hiway, Hiwy, Hway
Island	Is	Islnd
Lane	Ln	
Landing	Lndg	Lndng
Loop	Loop	Loops
Path	Path	Paths
Parkways	Pkwy	Pkwys
Place	Pl	
Road	Rd	
Run	Run	
Spurs	Spur	
Street	St	Str, Strt
Terrace	Ter	Terr
Trail	Trl	Trails, Trls
Vista	Vis	Vist, Vst, Vsta
View	Vw	
Walks	Walk	
Way	Way	Wy
Crossing	Xing	Crssng
